,HOUR,MAKE,BODY_TYP,MOD_YEAR,AGE,INJ_SEV,REST_USE,EJECTION,VE_FORMS,VSURCOND,ROLLOVER,TRAV_SP,VSPD_LIM,LGT_COND,DIF_SP
12094,7,Ford,Pickups,8.0,36,No Apparent Injury,1,0,2,0,0,0,55,1,-55
12095,7,Ford,Pickups,8.0,33,No Apparent Injury,1,0,2,0,0,0,55,1,-55
12096,21,Jeep,SUVs,24.0,28,No Apparent Injury,1,0,1,0,0,37,40,2,-3
12097,20,Dodge,Pickups,1.0,45,Possible Injury,1,0,2,1,0,39,45,2,-6
12098,0,Dodge,Pickups,15.0,61,Fatal Injury,1,0,4,0,0,0,45,2,-45
12099,0,Jeep,SUVs,17.0,38,No Apparent Injury,1,0,4,0,0,0,45,2,-45
12100,8,BMW,Sedans,7.0,27,Possible Injury,1,0,3,0,0,0,35,0,-35
12101,2,Chevrolet,Pickups,20.0,44,Suspected Serious Injury,0,0,2,0,0,0,60,2,-60
12102,18,GMC,Pickups,7.0,54,No Apparent Injury,1,0,1,0,0,53,45,2,8
12103,22,Ford,SUVs,10.0,45,Suspected Serious Injury,1,0,3,0,0,0,75,2,-75
12104,22,Ford,SUVs,5.0,38,Suspected Serious Injury,1,0,3,0,0,0,75,2,-75
12105,22,Ford,SUVs,5.0,71,Fatal Injury,1,0,3,0,0,0,75,2,-75
12106,18,Ford,SUVs,13.0,34,Possible Injury,1,0,2,0,0,76,40,2,36
12107,18,Ford,SUVs,13.0,41,Possible Injury,1,0,2,0,0,76,40,2,36
12109,8,Dodge,Pickups,4.0,34,No Apparent Injury,1,0,3,0,0,0,40,0,-40
12110,8,Chevrolet,SUVs,14.0,57,No Apparent Injury,1,0,3,0,0,0,40,0,-40
12111,13,GMC,Pickups,6.0,26,Possible Injury,1,0,3,0,0,97,50,0,47
12112,13,GMC,Pickups,6.0,5,Suspected Minor Injury,1,0,3,0,0,97,50,0,47
12113,13,GMC,Pickups,6.0,25,Suspected Minor Injury,0,0,3,0,0,97,50,0,47
12114,11,Chevrolet,SUVs,17.0,32,No Apparent Injury,1,0,3,0,0,0,60,0,-60
12115,11,Chevrolet,SUVs,17.0,15,Suspected Minor Injury,1,0,3,0,0,0,60,0,-60
12116,21,Chevrolet,Sedans,7.0,45,No Apparent Injury,1,0,3,0,0,0,45,2,-45
12117,8,Toyota,Sedans,4.0,53,Possible Injury,1,0,6,0,0,0,75,0,-75
12118,9,Jeep,SUVs,4.0,35,No Apparent Injury,1,0,3,0,0,0,45,0,-45
12119,11,BMW,Pickups,10.0,38,No Apparent Injury,1,0,3,0,0,0,75,0,-75
12120,12,Chevrolet,SUVs,2.0,46,Suspected Serious Injury,1,0,2,0,0,0,70,0,-70
12121,12,Chevrolet,SUVs,2.0,20,Suspected Serious Injury,1,0,2,0,0,0,70,0,-70
12122,2,Chevrolet,Pickups,15.0,33,No Apparent Injury,1,0,2,0,1,110,55,2,55
12123,2,Toyota,Sedans,3.0,25,Fatal Injury,1,0,2,0,0,12,55,2,-43
12124,2,Toyota,Sedans,3.0,28,Suspected Minor Injury,1,0,2,0,0,12,55,2,-43
12125,2,Toyota,Sedans,3.0,27,Fatal Injury,1,0,2,0,0,12,55,2,-43
12126,10,Chevrolet,Pickups,11.0,35,No Apparent Injury,1,0,3,0,0,0,45,0,-45
12127,13,GMC,Pickups,5.0,58,Fatal Injury,1,0,6,0,0,0,40,0,-40
12128,13,GMC,Pickups,5.0,66,Suspected Serious Injury,0,0,6,0,0,0,40,0,-40
12129,13,BMW,Sedans,4.0,64,Possible Injury,1,0,6,0,0,0,40,0,-40
12130,13,Toyota,Sedans,4.0,23,Possible Injury,1,0,6,0,0,0,40,0,-40
12131,13,Toyota,Sedans,4.0,22,Possible Injury,1,0,6,0,0,0,40,0,-40
12132,13,Ford,Pickups,10.0,39,No Apparent Injury,1,0,6,0,0,0,40,0,-40
12133,13,Chevrolet,Pickups,10.0,61,No Apparent Injury,1,0,6,0,0,0,40,0,-40
